WBS,Equipment_Name,Equation_Key,Design_Parameter,Min_Range,Max_Range,Formula
Steel,st_pipe_eq_polymer,st_pipe_eq,=polymer_pipe_diam,"=VLOOKUP($E68,eq_table_cl,P$4,FALSE)","=VLOOKUP($E68,eq_table_cl,O$4,FALSE)","=IF(D68=0,0,IF(OR(D68>P68,D68<Q68),""contact vendor"",F68*D68^G68+H68*LN(D68)+I68+J68*EXP(K68*D68)+L68"
CPVC,cpvc_pipe_eq_bp,cpvc_pipe_eq,=bp_pipe_diam,"=VLOOKUP($E70,eq_table_cl,P$4,FALSE)","=VLOOKUP($E70,eq_table_cl,O$4,FALSE)","=IF(D70=0,0,IF(OR(D70>P70,D70<Q70),""contact vendor"",F70*D70^G70+H70*LN(D70)+I70+J70*EXP(K70*D70)+L70"
PVC,pvc_pipe_eq_bp,pvc_pipe_eq,=bp_pipe_diam,"=VLOOKUP($E71,eq_table_cl,P$4,FALSE)","=VLOOKUP($E71,eq_table_cl,O$4,FALSE)","=IF(D71=0,0,IF(OR(D71>P71,D71<Q71),""contact vendor"",F71*D71^G71+H71*LN(D71)+I71+J71*EXP(K71*D71)+L71"
Stainless Steel,ss_pipe_eq_bp,ss_pipe_eq,=bp_pipe_diam,"=VLOOKUP($E72,eq_table_cl,P$4,FALSE)","=VLOOKUP($E72,eq_table_cl,O$4,FALSE)","=IF(D72=0,0,IF(OR(D72>P72,D72<Q72),""contact vendor"",F72*D72^G72+H72*LN(D72)+I72+J72*EXP(K72*D72)+L72"
Steel,st_pipe_eq_bp,st_pipe_eq,=bp_pipe_diam,"=VLOOKUP($E73,eq_table_cl,P$4,FALSE)","=VLOOKUP($E73,eq_table_cl,O$4,FALSE)","=IF(D73=0,0,IF(OR(D73>P73,D73<Q73),""contact vendor"",F73*D73^G73+H73*LN(D73)+I73+J73*EXP(K73*D73)+L73"
Polypropylene/PVC - Process,pp_mov_eq_tank,"=IF(D76>12,""pp_mov_eq_large"",""pp_mov_eq_small"")",=tank_valve_size,"=VLOOKUP($E76,eq_table_cl,P$4,FALSE)","=VLOOKUP($E76,eq_table_cl,O$4,FALSE)","=IF(D76=0,0,IF(OR(D76>P76,D76<Q76),""contact vendor"",F76*D76^G76+H76*LN(D76)+I76+J76*EXP(K76*D76)+L76"
Stainless Steel - Process,ss_mov_eq_tank,ss_mov_eq,=tank_valve_size,"=VLOOKUP($E77,eq_table_cl,P$4,FALSE)","=VLOOKUP($E77,eq_table_cl,O$4,FALSE)","=IF(D77=0,0,IF(OR(D77>P77,D77<Q77),""contact vendor"",F77*D77^G77+H77*LN(D77)+I77+J77*EXP(K77*D77)+L77"
Cast Iron - Process,ci_mov_eq_tank,ci_mov_eq,=tank_valve_size,"=VLOOKUP($E78,eq_table_cl,P$4,FALSE)","=VLOOKUP($E78,eq_table_cl,O$4,FALSE)","=IF(D78=0,0,IF(OR(D78>P78,D78<Q78),""contact vendor"",F78*D78^G78+H78*LN(D78)+I78+J78*EXP(K78*D78)+L78"
Polypropylene/PVC - Backwash,pp_mov_eq_back,"=IF(D79>12,""pp_mov_eq_large"",""pp_mov_eq_small"")",=back_valve_size,"=VLOOKUP($E79,eq_table_cl,P$4,FALSE)","=VLOOKUP($E79,eq_table_cl,O$4,FALSE)","=IF(D79=0,0,IF(OR(D79>P79,D79<Q79),""contact vendor"",F79*D79^G79+H79*LN(D79)+I79+J79*EXP(K79*D79)+L79"
Stainless Steel - Backwash,ss_mov_eq_back,ss_mov_eq,=back_valve_size,"=VLOOKUP($E80,eq_table_cl,P$4,FALSE)","=VLOOKUP($E80,eq_table_cl,O$4,FALSE)","=IF(D80=0,0,IF(OR(D80>P80,D80<Q80),""contact vendor"",F80*D80^G80+H80*LN(D80)+I80+J80*EXP(K80*D80)+L80"
Cast Iron - Backwash,ci_mov_eq_back,ci_mov_eq,=back_valve_size,"=VLOOKUP($E81,eq_table_cl,P$4,FALSE)","=VLOOKUP($E81,eq_table_cl,O$4,FALSE)","=IF(D81=0,0,IF(OR(D81>P81,D81<Q81),""contact vendor"",F81*D81^G81+H81*LN(D81)+I81+J81*EXP(K81*D81)+L81"
